country,sector,sub_sector,activity,persons_employed_2009,persons_employed_2018,persons_employed_delta_2018_09,turnover_2009,turnover_2018,turnover_delta_2018_09,value_added_at_factor_cost_2009,value_added_at_factor_cost_2018,value_added_at_factor_cost_delta_2018_09,gva_to_turnover_2009,gva_to_turnover_2018,gva_to_turnover_delta_2018_09,gross_operating_surplus_2009,gross_operating_surplus_2018,gross_operating_surplus_delta_2018_09,gross_profit_margin_2009,gross_profit_margin_2018,gross_profit_margin_delta_2018_09,personnel_costs_per_employee_2009,personnel_costs_per_employee_2018,personnel_costs_per_employee_delta_2018_09
Finland,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,791,834,0.05,84.3,132.8,0.58,32.9,38.7,0.18,0.39,0.29,-0.25,9.4,10.9,0.16,0.11,0.08,-0.26,29.6,33.3,0.13
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",1618,357,-0.78,946.5,178.9,-0.81,194.4,31.3,-0.84,0.21,0.17,-0.15,93.2,5.5,-0.94,0.1,0.03,-0.69,62.5,72.1,0.15
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",9,320,34.56,1.8,57,30.66,0.7,25.4,34.79,0.4,0.45,0.13,0.3,7,25.73,0.14,0.12,-0.16,48.8,57.7,0.18
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,130,18,-0.86,15.7,2.9,-0.82,5.9,1,-0.82,0.37,0.36,-0.03,1.4,0.3,-0.77,0.09,0.11,0.24,34.2,39.3,0.15
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,276,186,-0.33,39.7,28.9,-0.27,11.9,9.1,-0.23,0.3,0.32,0.06,2.8,1.8,-0.36,0.07,0.06,-0.12,33,39.5,0.2
Finland,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",15,NA,NA,1.6,NA,NA,0.7,NA,NA,0.42,NA,NA,0.2,NA,NA,0.13,NA,NA,31.7,NA,NA
Finland,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,460,316,-0.31,45.9,39,-0.15,16,14.8,-0.07,0.35,0.38,0.09,4.1,5.1,0.23,0.09,0.13,0.45,25.7,30.7,0.19
Finland,Maritime transport,Passenger transport,Sea and coastal passenger water transport,5640,5807,0.03,1018.8,1167.8,0.15,275.3,323.8,0.18,0.27,0.28,0.03,33.6,66.4,0.98,0.03,0.06,0.72,42.9,44.3,0.03
Finland,Maritime transport,Passenger transport,Inland passenger water transport,234,183,-0.22,12.2,10.7,-0.12,6.4,5.3,-0.17,0.52,0.5,-0.06,1.8,1.2,-0.33,0.15,0.11,-0.24,19.7,22.4,0.14
Finland,Maritime transport,Freight transport,Sea and coastal freight water transport,3793,2847,-0.25,1379.2,881.1,-0.36,292.4,349.7,0.2,0.21,0.4,0.87,100.9,178.3,0.77,0.07,0.2,1.77,50.5,60.2,0.19
Finland,Maritime transport,Freight transport,inland freight water transport,38,43,0.13,4.3,6,0.4,1.7,2.5,0.47,0.4,0.42,0.05,0.1,1,11,-0.02,0.17,8.17,47.4,34.9,-0.26
Finland,Maritime transport,Services for transport,Renting and leasing of water transport equipment,11,18,0.64,1.6,5.7,2.56,0.7,3.5,4,0.44,0.61,0.4,0.5,3.2,5.4,0.31,0.56,0.8,28.6,16.7,-0.42
Finland,Maritime transport,Services for transport,Other transportation support activities,1496,1135,-0.24,482.7,425.4,-0.12,71.5,62.6,-0.12,0.15,0.15,-0.01,13.3,12.5,-0.06,0.03,0.03,0.07,38.9,44.2,0.14
Finland,Coastal tourism,Accommodation,Accommodation,4433,5516,0.24,461,709.1,0.54,141.8,240.5,0.7,0.31,0.34,0.1,25.1,81.3,2.23,0.05,0.11,1.1,26.3,28.9,0.1
Finland,Coastal tourism,Transport,Transport,6079,6132,0.01,798.1,966.8,0.21,259.7,357,0.37,0.33,0.37,0.13,65.8,126.4,0.92,0.08,0.13,0.59,31.9,37.6,0.18
Finland,Coastal tourism,Other expenditure,Other expenditure,7844,11907,0.52,868.9,1420.9,0.64,244,411.8,0.69,0.28,0.29,0.03,63,101.1,0.6,0.07,0.07,-0.02,23.1,26.1,0.13
Germany,Marine living resources,Primary production,Capture fisheries (SSCF),559,807,0.44,9,7.7,-0.15,2.5,2.1,-0.14,0.27,0.28,0.01,1.1,0.7,0.4,-0.12,-0.09,0.29,6.4,3.5,-0.46
Germany,Marine living resources,Primary production,Capture fisheries (LSF),970,849,-0.12,127.4,168.8,0.33,62.6,80.8,0.29,0.49,0.48,-0.03,17.7,28.5,0.61,0.14,0.17,0.21,46.3,61.6,0.33
Germany,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine living resources,Primary production,Freshwater aquaculture,815,823,0.01,93.5,78.7,-0.16,26.2,23.9,-0.09,0.28,0.3,0.08,1.2,7.7,7.25,-0.01,0.1,8.43,14.2,11.5,-0.19
Germany,Marine living resources,Primary production,Shellfish aquaculture,58,127,1.19,5.8,25.3,3.4,2.7,14.4,4.37,0.47,0.57,0.22,0.6,8.7,15.26,-0.11,0.34,4.27,50,32.9,-0.34
Germany,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",8389,7521,-0.1,2179.5,2457.2,0.13,342,392.6,0.15,0.16,0.16,0.02,77.5,130.1,0.68,0.04,0.05,0.49,31.5,34.9,0.11
Germany,Marine living resources,Processing of fish products,Manufacture of oils and fats,12,31,1.58,16,41.9,1.63,1,3.5,2.45,0.06,0.08,0.32,0.4,1.7,3.31,0.02,0.04,0.62,52.3,57.5,0.1
Germany,Marine living resources,Processing of fish products,Prepared meals and dishes,1186,2560,1.16,280.9,494.7,0.76,63.6,123.1,0.94,0.23,0.25,0.1,25.6,27.5,0.08,0.09,0.06,-0.39,32,37.3,0.17
Germany,Marine living resources,Processing of fish products,Other food products,101,NA,NA,25.6,0.1,-0.99,6.8,0,-0.99,0.27,0.28,0.07,2.3,0,-1,0.09,0.11,0.23,44.3,54.2,0.22
Germany,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",23992,29956,0.25,12923.6,19502.7,0.51,1303.6,1762.5,0.35,0.1,0.09,-0.1,575.7,603.6,0.05,0.04,0.03,-0.31,30.3,38.7,0.28
Germany,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",7613,5625,-0.26,411.2,426.4,0.04,125.1,121,-0.03,0.3,0.28,-0.07,52.6,50.3,-0.04,0.13,0.12,-0.08,9.5,12.6,0.32
Germany,Marine non-living resources,Oil and gas,Extraction of crude petroleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine non-living resources,Oil and gas,Extraction of natural gas,145,35,-0.76,106.3,26.8,-0.75,45,6.4,-0.86,0.42,0.24,-0.43,28.7,2.2,-0.92,0.27,0.08,-0.69,112.8,119.6,0.06
Germany,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,140,301,1.15,20.8,57.8,1.77,8.6,22,1.57,0.41,0.38,-0.07,3.1,8.7,1.84,0.15,0.15,0.02,39.4,44.2,0.12
Germany,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Port activites,Cargo and warehousing,Cargo handling,2031,3470,0.71,284.2,591.4,1.08,125.2,265.8,1.12,0.44,0.45,0.02,50.6,96.7,0.91,0.18,0.16,-0.08,36.7,48.7,0.33
Germany,Port activites,Cargo and warehousing,Warehousing and storage,51626,100711,0.95,5626.5,13179,1.34,2143.1,4630.6,1.16,0.38,0.35,-0.08,641.6,1153.6,0.8,0.11,0.09,-0.23,29.1,34.5,0.19
Germany,Port activites,Port and water projects,Construction of water projects,2648,2950,0.11,302.9,629.7,1.08,117.1,214,0.83,0.39,0.34,-0.12,2.6,78.8,31.31,-0.01,0.13,15.58,45.2,45.8,0.01
Germany,Port activites,Port and water projects,Service activities incidental to water transportation,18074,16674,-0.08,2581.9,3396.7,0.32,1555,1713.8,0.1,0.6,0.5,-0.16,651.8,760.4,0.17,0.25,0.22,-0.11,50,57.2,0.14
Germany,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,15288,13067,-0.15,3880.3,5175.5,0.33,783.1,1080.2,0.38,0.2,0.21,0.03,89.6,220.3,3.46,-0.02,0.04,2.84,57.1,65.8,0.15
Germany,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,3747,6171,0.65,983,2239,1.28,256.8,528.8,1.06,0.26,0.24,-0.1,91.2,213.8,1.34,0.09,0.1,0.03,44.2,51.1,0.15
Germany,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,6871,6777,-0.01,1252,1038.6,-0.17,423.6,354.2,-0.16,0.34,0.34,0.01,128.2,43.6,-0.66,0.1,0.04,-0.59,43,45.8,0.07
Germany,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",9571,8996,-0.06,2357.6,3633.2,0.54,569,907,0.59,0.24,0.25,0.03,33.3,120.5,4.62,-0.01,0.03,3.35,62.9,87.4,0.39
Germany,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",1433,1405,-0.02,218.6,296.1,0.35,82.4,123.1,0.49,0.38,0.42,0.1,7.8,31.9,3.11,0.04,0.11,2.03,52.1,65,0.25
Germany,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,2607,389,-0.85,398.5,62.9,-0.84,131.1,23.9,-0.82,0.33,0.38,0.16,37,6.9,-0.81,0.09,0.11,0.18,36.1,43.8,0.21
Germany,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,84,35,-0.58,10.5,4.9,-0.53,3.5,1.7,-0.52,0.34,0.34,0.03,0.8,0.3,-0.64,0.07,0.06,-0.22,32.5,40,0.23
Germany,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,4,2824,705,0.5,394.9,857.57,0.1,139.9,998.43,0.32,0.35,0.12,0,44.3,1107.25,0.09,0.11,0.25,25.7,33.9,0.32
Germany,Maritime transport,Passenger transport,Sea and coastal passenger water transport,1604,3629,1.26,369.6,3142.9,7.5,218.4,1533,6.02,0.59,0.49,-0.17,153.2,1363.7,7.9,0.41,0.43,0.05,40.7,46.7,0.15
Germany,Maritime transport,Passenger transport,Inland passenger water transport,4446,6103,0.37,412.6,545.2,0.32,185.7,304.4,0.64,0.45,0.56,0.24,87.3,162.4,0.86,0.21,0.3,0.41,22.2,23.3,0.05
Germany,Maritime transport,Freight transport,Sea and coastal freight water transport,26803,14728,-0.45,20963.1,29909.1,0.43,6924.4,4167.8,-0.4,0.33,0.14,-0.58,5586.5,3276.6,-0.41,0.27,0.11,-0.59,49.9,60.5,0.21
Germany,Maritime transport,Freight transport,inland freight water transport,4082,4211,0.03,1647.9,1689.1,0.03,650.5,385.3,-0.41,0.39,0.23,-0.42,516.8,235.7,-0.54,0.31,0.14,-0.56,32.8,35.5,0.08
Germany,Maritime transport,Services for transport,Renting and leasing of water transport equipment,2070,2359,0.14,1449.4,523.6,-0.64,871.8,291.4,-0.67,0.6,0.56,-0.07,856.6,271.3,-0.68,0.59,0.52,-0.12,7.3,8.5,0.17
Germany,Maritime transport,Services for transport,Other transportation support activities,70364,101551,0.44,12125.8,19965.7,0.65,3638.9,NA,0.43,0.3,0.26,-0.13,1441.4,1679.1,0.16,0.12,0.08,-0.29,31.2,34.6,0.11
Germany,Coastal tourism,Accommodation,Accommodation,98391,97605,-0.01,4058.2,5139.8,0.27,2164.1,NA,0.2,0.53,0.51,-0.05,838.8,972.3,0.16,0.21,0.19,-0.08,13.5,16.7,0.24
Germany,Coastal tourism,Transport,Transport,33842,33847,0,3750.7,3981.5,0.06,1215.7,1296.9,0.07,0.32,0.33,0,304.6,287.2,-0.06,0.08,0.07,-0.11,26.9,29.8,0.11
Germany,Coastal tourism,Other expenditure,Other expenditure,48248,69540,0.44,3130.2,5061.4,0.62,949.6,1478.6,0.56,0.3,0.29,-0.04,331.8,464.7,0.4,0.11,0.09,-0.13,12.8,14.6,0.14
Latvia,Marine living resources,Primary production,Capture fisheries (SSCF),1110,295,-0.73,0.9,1.4,0.57,0.8,0.7,-0.07,0.87,0.52,-0.4,0.6,0.2,-0.69,0.68,0.13,-0.8,0.2,1.8,10.8
Latvia,Marine living resources,Primary production,Capture fisheries (LSF),556,335,-0.4,20.9,18.9,-0.1,11.3,7.6,-0.33,0.54,0.4,-0.26,7.9,4,-0.49,0.38,0.21,-0.43,6,10.5,0.74
Latvia,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine living resources,Primary production,Freshwater aquaculture,236,250,0.06,5.1,5.7,0.11,1.6,2.8,0.77,0.31,0.49,0.58,3.3,2,0.4,-0.64,-0.34,0.46,8.7,8.3,-0.05
Latvia,Marine living resources,Primary production,Shellfish aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",4728,3521,-0.26,153.2,183.2,0.2,29.5,34.8,0.18,0.19,0.19,-0.01,7.5,7,-0.07,0.05,0.04,-0.22,4.7,7.9,0.7
Latvia,Marine living resources,Processing of fish products,Manufacture of oils and fats,3,12,3,0.3,2.1,7.28,0,0.2,-9,-0.09,-0.09,0,0.1,0.4,-6.8,-0.19,-0.19,0,8.1,15,0.87
Latvia,Marine living resources,Processing of fish products,Prepared meals and dishes,299,269,-0.1,16.7,10.6,-0.37,2.6,2.9,0.12,0.15,0.28,0.78,1.3,1.1,-0.17,0.08,0.1,0.31,4.2,6.5,0.54
Latvia,Marine living resources,Processing of fish products,Other food products,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",837,718,-0.14,150.7,167.2,0.11,16.4,16.9,0.03,0.11,0.1,-0.07,10.1,8.7,-0.14,0.07,0.05,-0.22,7.5,11.4,0.51
Latvia,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",86,109,0.27,1.8,2,0.11,0.2,0.3,0.5,0.11,0.15,0.35,0.1,NA,NA,-0.06,NA,NA,3.5,2.8,-0.21
Latvia,Marine non-living resources,Oil and gas,Extraction of crude petroleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Port activites,Cargo and warehousing,Cargo handling,2294,2347,0.02,204,200.7,-0.02,83.9,85,0.01,0.41,0.42,0.03,53.4,47.7,-0.11,0.26,0.24,-0.09,13.3,15.9,0.2
Latvia,Port activites,Cargo and warehousing,Warehousing and storage,1167,2057,0.76,57,102.6,0.8,19.5,37.8,0.94,0.34,0.37,0.08,9.5,16.5,0.73,0.17,0.16,-0.04,8.6,10.4,0.21
Latvia,Port activites,Port and water projects,Construction of water projects,902,671,-0.26,103.5,73.2,-0.29,20.1,13.2,-0.34,0.19,0.18,-0.07,9.9,2.6,-0.74,0.1,0.04,-0.63,11.3,15.8,0.4
Latvia,Port activites,Port and water projects,Service activities incidental to water transportation,158,1174,6.43,6.1,121.1,18.85,4.3,75.5,16.56,0.7,0.62,-0.12,1.8,49,26.22,0.3,0.4,0.37,15.2,22.6,0.49
Latvia,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,842,662,-0.21,27.8,21.6,-0.22,10.1,7.9,-0.22,0.36,0.37,0.01,2.9,0.1,-0.97,0.1,0,-0.96,8.4,11.8,0.4
Latvia,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,121,282,1.33,3.4,16.8,3.94,1.8,5.1,1.83,0.53,0.3,-0.43,1,0.7,-0.3,0.29,0.04,-0.86,7.4,15.6,1.1
Latvia,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,1668,1366,-0.18,42.6,39.7,-0.07,18.5,15,-0.19,0.43,0.38,-0.13,9.5,3.5,-0.63,0.22,0.09,-0.6,5.4,8.4,0.56
Latvia,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,-0.5,-0.25,0.5,12.5,10,-0.2
Latvia,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",26,31,0.19,1.4,1.7,0.26,0.7,0.7,0.09,0.47,0.41,-0.13,0.4,0.3,-0.13,0.28,0.19,-0.33,10.2,12.3,0.2
Latvia,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,399,18,-0.95,12.6,1,-0.92,3.7,0.3,-0.91,0.29,0.33,0.11,1.1,0.1,-0.88,0.09,0.13,0.57,6.6,10.5,0.58
Latvia,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,3,9,2,0.1,0.5,3.7,0,0.1,3.33,0.29,0.28,-0.02,0,0.1,6,0.14,0.15,0.05,2.5,7,1.79
Latvia,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",2,NA,NA,0.1,NA,NA,0,NA,NA,0.26,NA,NA,0,NA,NA,0.09,NA,NA,5.3,NA,NA
Latvia,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,17,209,11.29,0.3,7.1,21.81,0.1,2.2,20.5,0.34,0.3,-0.11,0,0.6,18,0.09,0.08,-0.08,4.7,7.6,0.62
Latvia,Maritime transport,Passenger transport,Sea and coastal passenger water transport,514,618,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Maritime transport,Passenger transport,Inland passenger water transport,10,36,2.6,0.4,0.3,-0.25,0.3,0.1,-0.67,0.75,0.33,-0.56,0.2,NA,NA,0.5,NA,NA,NA,2.8,NA
Latvia,Maritime transport,Freight transport,Sea and coastal freight water transport,455,198,-0.56,42.2,51.4,0.22,18.3,9,-0.51,0.43,0.18,-0.6,6.8,3.6,-0.47,0.16,0.07,-0.57,25.5,27.3,0.07
Latvia,Maritime transport,Freight transport,inland freight water transport,22,215,8.77,0.4,7.8,18.5,0.2,5.6,27,0.5,0.72,0.44,0.1,1.9,18,0.25,0.24,-0.03,9.1,17.2,0.89
Latvia,Maritime transport,Services for transport,Renting and leasing of water transport equipment,25,81,2.24,5.5,6,0.09,2.3,2.7,0.17,0.42,0.45,0.08,1,1.3,0.3,0.18,0.22,0.19,52,16.1,-0.69
Latvia,Maritime transport,Services for transport,Other transportation support activities,267,268,0,44.2,55.6,0.26,6.6,6.9,0.03,0.15,0.12,-0.18,4,3.5,-0.12,0.09,0.06,-0.3,9.9,12.4,0.26
Latvia,Coastal tourism,Accommodation,Accommodation,5129,7191,0.4,95.1,224.2,1.36,42.9,92,1.14,0.45,0.41,-0.09,13.6,32.7,1.4,0.14,0.15,0.02,5.7,8.2,0.44
Latvia,Coastal tourism,Transport,Transport,2316,3834,0.66,188.4,363.8,0.93,40.6,70.6,0.74,0.22,0.19,-0.1,16.5,27.9,0.69,0.09,0.08,-0.12,10.4,11.2,0.07
Latvia,Coastal tourism,Other expenditure,Other expenditure,9053,15378,0.7,243.8,549.5,1.25,49.9,137.6,1.76,0.2,0.25,0.23,6.2,34.3,4.54,0.03,0.06,1.46,4.8,6.7,0.39
Lithuania,Marine living resources,Primary production,Capture fisheries (SSCF),160,145,-0.09,0.9,0.7,-0.21,0.5,0.3,-0.42,0.57,0.43,-0.25,0.4,0,-1.08,0.41,-0.04,-1.09,0.9,2.3,1.49
Lithuania,Marine living resources,Primary production,Capture fisheries (LSF),192,122,-0.36,7.6,5.6,-0.27,2.5,1.8,-0.25,0.32,0.33,0.03,1.3,0.3,-1.22,0.17,-0.05,-1.3,6.1,17.4,1.88
Lithuania,Marine living resources,Primary production,Capture fisheries (DWF),310,196,-0.37,52.8,52.2,-0.01,11.8,3.5,-0.7,0.22,0.07,-0.7,7.1,4.3,-1.6,0.14,-0.08,-1.61,14.9,39.9,1.68
Lithuania,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Marine living resources,Primary production,Freshwater aquaculture,63,140,1.22,7.2,13.4,0.86,2,4.1,1,0.28,0.3,0.08,0.1,1.3,15.56,-0.01,0.1,8.44,14.1,11.5,-0.19
Lithuania,Marine living resources,Primary production,Shellfish aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",4244,5291,0.25,232.6,554.2,1.38,49.9,116.2,1.33,0.21,0.21,-0.02,19.4,57.7,1.97,0.08,0.1,0.25,7.2,11.1,0.53
Lithuania,Marine living resources,Processing of fish products,Manufacture of oils and fats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Marine living resources,Processing of fish products,Prepared meals and dishes,392,560,0.43,8.9,25.6,1.87,3.5,7.8,1.22,0.39,0.31,-0.23,1.5,3.1,1.04,0.17,0.12,-0.29,5.2,8.5,0.65
Lithuania,Marine living resources,Processing of fish products,Other food products,3,NA,NA,0.1,NA,NA,0,NA,NA,0.17,NA,NA,0,NA,NA,0.08,NA,NA,4.3,NA,NA
Lithuania,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",1135,1035,-0.09,165.9,541.5,2.26,13.9,34.3,1.48,0.08,0.06,-0.24,4.9,20,3.08,0.03,0.04,0.25,7.9,13.8,0.75
Lithuania,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",13,59,3.54,0.1,2.9,28,NA,0.6,NA,NA,0.21,NA,NA,0.2,NA,NA,0.07,NA,NA,6.8,NA
