year,basin_code,input_tonnes,flow_cubic_meters_per_second,input_per_flow,baltic_sea_basin
1995,BOB,2848,3263,0.8728164266012871,Bothnian Bay
1995,BOS,2923,3216,0.9088930348258707,Bothnian Sea
1995,BAP,19238,3703,5.19524709694842,Baltic Proper
1995,GUF,9821,3795,2.587878787878788,Gulf of Finland
1995,GUR,1982,1119,1.7712243074173368,Gulf of Riga
1995,DS,2308,258,8.945736434108527,Danish Straits
1995,KAT,1805,1174,1.5374787052810903,Kattegat
1996,BOB,1779,2805,0.6342245989304813,Bothnian Bay
1996,BOS,2194,1951,1.124551512045105,Bothnian Sea
1996,BAP,17784,3166,5.617182564750474,Baltic Proper
1996,GUF,7340,2823,2.600070846617074,Gulf of Finland
1996,GUR,1377,682,2.0190615835777126,Gulf of Riga
1996,DS,1370,115,11.91304347826087,Danish Straits
1996,KAT,1041,588,1.7704081632653061,Kattegat
1997,BOB,2807,3092,0.9078266494178525,Bothnian Bay
1997,BOS,2458,2779,0.8844908240374235,Bothnian Sea
1997,BAP,20312,3458,5.873915558126084,Baltic Proper
1997,GUF,6903,2963,2.329733378332771,Gulf of Finland
1997,GUR,1670,1070,1.560747663551402,Gulf of Riga
1997,DS,1291,130,9.930769230769231,Danish Straits
1997,KAT,1208,832,1.4519230769230769,Kattegat
1998,BOB,3401,4198,0.8101476893758933,Bothnian Bay
1998,BOS,2969,3846,0.7719708788351534,Bothnian Sea
1998,BAP,21965,4273,5.14041656915516,Baltic Proper
1998,GUF,7784,3541,2.1982490821801752,Gulf of Finland
1998,GUR,3010,1482,2.031039136302294,Gulf of Riga
1998,DS,1969,279,7.057347670250896,Danish Straits
1998,KAT,1869,1164,1.6056701030927836,Kattegat
1999,BOB,2429,3445,0.7050798258345428,Bothnian Bay
1999,BOS,2928,2907,1.0072239422084623,Bothnian Sea
1999,BAP,20420,4118,4.958717824186499,Baltic Proper
1999,GUF,7716,3645,2.116872427983539,Gulf of Finland
1999,GUR,2505,1094,2.289762340036563,Gulf of Riga
1999,DS,1830,268,6.8283582089552235,Danish Straits
1999,KAT,1958,1442,1.3578363384188628,Kattegat
2000,BOB,3426,4349,0.7877673028282364,Bothnian Bay
2000,BOS,3820,3981,0.9595579000251193,Bothnian Sea
2000,BAP,16512,3649,4.5250753631131815,Baltic Proper
2000,GUF,8508,3215,2.646345256609642,Gulf of Finland
2000,GUR,2132,1021,2.088148873653281,Gulf of Riga
2000,DS,1452,219,6.63013698630137,Danish Straits
2000,KAT,1864,1313,1.4196496572734196,Kattegat
2001,BOB,2516,3585,0.701813110181311,Bothnian Bay
2001,BOS,2765,3762,0.7349813928761297,Bothnian Sea
2001,BAP,17933,3755,4.775765645805593,Baltic Proper
2001,GUF,7301,3413,2.139173747436273,Gulf of Finland
2001,GUR,2337,1078,2.1679035250463823,Gulf of Riga
2001,DS,1398,205,6.819512195121951,Danish Straits
2001,KAT,1728,1396,1.2378223495702005,Kattegat
2002,BOB,1754,2829,0.6200070696359138,Bothnian Bay
2002,BOS,1562,2523,0.6191042409829568,Bothnian Sea
2002,BAP,17665,3918,4.508677896886167,Baltic Proper
2002,GUF,9344,3028,3.085865257595773,Gulf of Finland
2002,GUR,1715,987,1.7375886524822695,Gulf of Riga
2002,DS,2032,321,6.330218068535825,Danish Straits
2002,KAT,1617,1107,1.4607046070460705,Kattegat
2003,BOB,1583,2305,0.6867678958785249,Bothnian Bay
2003,BOS,1336,2074,0.6441658630665381,Bothnian Sea
2003,BAP,11810,2535,4.658777120315582,Baltic Proper
2003,GUF,7285,2336,3.118578767123288,Gulf of Finland
2003,GUR,1949,758,2.571240105540897,Gulf of Riga
2003,DS,984,143,6.881118881118881,Danish Straits
2003,KAT,1063,703,1.5120910384068278,Kattegat
2004,BOB,2444,3505,0.6972895863052782,Bothnian Bay
2004,BOS,2000,2531,0.7902015013828526,Bothnian Sea
2004,BAP,15057,3135,4.80287081339713,Baltic Proper
2004,GUF,10383,3629,2.8611187655001378,Gulf of Finland
2004,GUR,2618,1195,2.190794979079498,Gulf of Riga
2004,DS,1397,219,6.378995433789954,Danish Straits
2004,KAT,1482,952,1.5567226890756303,Kattegat
2005,BOB,2525,3701,0.682248041069981,Bothnian Bay
2005,BOS,2368,3015,0.7854063018242122,Bothnian Sea
2005,BAP,12438,3099,4.013552758954502,Baltic Proper
2005,GUF,11307,3970,2.848110831234257,Gulf of Finland
2005,GUR,2608,1140,2.287719298245614,Gulf of Riga
2005,DS,1167,197,5.9238578680203045,Danish Straits
2005,KAT,1393,888,1.5686936936936937,Kattegat
2006,BOB,2255,2902,0.7770503101309442,Bothnian Bay
2006,BOS,2488,2825,0.8807079646017699,Bothnian Sea
2006,BAP,13694,3055,4.482487725040917,Baltic Proper
2006,GUF,6540,2852,2.29312762973352,Gulf of Finland
2006,GUR,1903,834,2.2817745803357314,Gulf of Riga
2006,DS,1359,226,6.013274336283186,Danish Straits
2006,KAT,1872,1079,1.7349397590361446,Kattegat
2007,BOB,2291,3613,0.6340990866316081,Bothnian Bay
2007,BOS,1963,2713,0.7235532620715076,Bothnian Sea
2007,BAP,14658,3696,3.965909090909091,Baltic Proper
2007,GUF,5218,3307,1.5778651345630481,Gulf of Finland
2007,GUR,2565,986,2.601419878296146,Gulf of Riga
2007,DS,1761,300,5.87,Danish Straits
2007,KAT,1722,1313,1.3115003808073116,Kattegat
2008,BOB,2802,3941,0.7109870591220503,Bothnian Bay
2008,BOS,3245,3054,1.0625409299279633,Bothnian Sea
2008,BAP,12164,3289,3.6983885679537853,Baltic Proper
2008,GUF,6727,4064,1.655265748031496,Gulf of Finland
2008,GUR,2613,1115,2.343497757847534,Gulf of Riga
2008,DS,1491,238,6.264705882352941,Danish Straits
2008,KAT,1623,1296,1.2523148148148149,Kattegat
2009,BOB,1858,2802,0.6630977872947894,Bothnian Bay
2009,BOS,1747,2943,0.5936119605844377,Bothnian Sea
2009,BAP,13721,3192,4.298558897243108,Baltic Proper
2009,GUF,11146,3832,2.9086638830897704,Gulf of Finland
2009,GUR,2419,1149,2.105308964316797,Gulf of Riga
2009,DS,1264,170,7.435294117647059,Danish Straits
2009,KAT,1187,967,1.2275077559462255,Kattegat
2010,BOB,2481,3135,0.7913875598086124,Bothnian Bay
2010,BOS,1877,2914,0.6441317776252574,Bothnian Sea
2010,BAP,19329,4763,4.058156623976485,Baltic Proper
2010,GUF,6140,4070,1.5085995085995085,Gulf of Finland
2010,GUR,2679,1310,2.045038167938931,Gulf of Riga
2010,DS,1466,255,5.749019607843137,Danish Straits
2010,KAT,1424,1169,1.2181351582549187,Kattegat
2011,BOB,2452,3466,0.7074437391806117,Bothnian Bay
2011,BOS,2359,3077,0.7666558336041599,Bothnian Sea
2011,BAP,15882,4038,3.9331352154531944,Baltic Proper
2011,GUF,6809,3921,1.7365467992858965,Gulf of Finland
2011,GUR,1738,1101,1.5785649409627611,Gulf of Riga
2011,DS,1692,257,6.583657587548638,Danish Straits
2011,KAT,1492,1172,1.273037542662116,Kattegat
2012,BOB,3509,4460,0.7867713004484305,Bothnian Bay
2012,BOS,2688,3661,0.734225621414914,Bothnian Sea
2012,BAP,10714,3297,3.2496208674552625,Baltic Proper
2012,GUF,4468,4242,1.0532767562470533,Gulf of Finland
2012,GUR,2792,1371,2.036469730123997,Gulf of Riga
2012,DS,1505,233,6.459227467811159,Danish Straits
2012,KAT,1529,1234,1.239059967585089,Kattegat
2013,BOB,2246,3276,0.6855921855921856,Bothnian Bay
2013,BOS,1943,2526,0.769200316706255,Bothnian Sea
2013,BAP,14660,3430,4.274052478134111,Baltic Proper
2013,GUF,3897,4051,0.9619846951370032,Gulf of Finland
2013,GUR,2289,1074,2.131284916201117,Gulf of Riga
2013,DS,1386,220,6.3,Danish Straits
2013,KAT,1142,931,1.2266380236305048,Kattegat
2014,BOB,2036,3101,0.6565623992260561,Bothnian Bay
2014,BOS,1676,2667,0.6284214473190851,Bothnian Sea
2014,BAP,14151,2950,4.796949152542373,Baltic Proper
2014,GUF,3855,3461,1.1138399306558797,Gulf of Finland
2014,GUR,1436,692,2.0751445086705202,Gulf of Riga
2014,DS,1382,210,6.580952380952381,Danish Straits
2014,KAT,1547,1227,1.26079869600652,Kattegat
2015,BOB,3220,4486,0.7177886758805172,Bothnian Bay
2015,BOS,2416,3277,0.7372596887397009,Bothnian Sea
2015,BAP,8452,2561,3.3002733307301835,Baltic Proper
2015,GUF,3080,3137,0.9818297736691106,Gulf of Finland
2015,GUR,1361,720,1.8902777777777777,Gulf of Riga
2015,DS,1799,275,6.541818181818182,Danish Straits
2015,KAT,1601,1201,1.3330557868442965,Kattegat
2016,BOB,2783,4023,0.6917723092219736,Bothnian Bay
2016,BOS,1499,2371,0.6322226908477435,Bothnian Sea
2016,BAP,9716,2796,3.474964234620887,Baltic Proper
2016,GUF,4025,3801,1.0589318600368325,Gulf of Finland
2016,GUR,2156,959,2.2481751824817517,Gulf of Riga
2016,DS,1283,222,5.7792792792792795,Danish Straits
2016,KAT,1230,922,1.334056399132321,Kattegat
2017,BOB,2390,3584,0.6668526785714286,Bothnian Bay
2017,BOS,1940,2639,0.7351269420234937,Bothnian Sea
2017,BAP,12920,3921,3.2950777862790104,Baltic Proper
2017,GUF,4727,3803,1.2429660794109914,Gulf of Finland
2017,GUR,3022,1453,2.0798348245010323,Gulf of Riga
2017,DS,1564,256,6.109375,Danish Straits
2017,KAT,1378,900,1.531111111111111,Kattegat
