winter_DIN,winter_DIP,summer_chla,summer_secchi,oxyg_debt,helcom_id,summer_secchi_units,summer_chla_units,winter_DIN_units,winter_DIP_units
5,0.49,1.5,7.6,NA,SEA-001,meters,ug_per_l,umol_per_l,umol_per_l
5,0.59,1.7,8.5,NA,SEA-002,meters,ug_per_l,umol_per_l,umol_per_l
3.3,0.42,1.2,8.2,NA,SEA-003,meters,ug_per_l,umol_per_l,umol_per_l
5.5,0.57,2,7.4,NA,SEA-004,meters,ug_per_l,umol_per_l,umol_per_l
4.3,0.49,1.8,7.1,NA,SEA-005,meters,ug_per_l,umol_per_l,umol_per_l
2.9,0.36,1.8,7.2,NA,SEA-006,meters,ug_per_l,umol_per_l,umol_per_l
2.5,0.3,1.8,7.1,6.37,SEA-007,meters,ug_per_l,umol_per_l,umol_per_l
4.2,0.36,2.2,6.5,8.66,SEA-008,meters,ug_per_l,umol_per_l,umol_per_l
2.6,0.29,1.9,7.6,8.66,SEA-009,meters,ug_per_l,umol_per_l,umol_per_l
2,0.33,1.2,8.4,8.66,SEA-010,meters,ug_per_l,umol_per_l,umol_per_l
5.2,0.41,2.7,5,NA,SEA-011,meters,ug_per_l,umol_per_l,umol_per_l
2.9,0.25,1.65,7.1,8.66,SEA-012,meters,ug_per_l,umol_per_l,umol_per_l
3.8,0.59,2,5.5,8.66,SEA-013,meters,ug_per_l,umol_per_l,umol_per_l
2.7,0.21,1.5,6.9,NA,SEA-014,meters,ug_per_l,umol_per_l,umol_per_l
2.8,0.19,1.5,6.8,NA,SEA-015,meters,ug_per_l,umol_per_l,umol_per_l
3.7,0.1,2,6,NA,SEA-016,meters,ug_per_l,umol_per_l,umol_per_l
5.2,0.07,2,5.8,NA,SEA-017,meters,ug_per_l,umol_per_l,umol_per_l
NA,NA,2.1,NA,NA,DEN-001,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-002,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-003,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-006,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-007,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-008,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-009,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-010,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-011,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-012,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-013,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-014,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-015,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-016,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-017,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-018,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-019,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-020,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-021,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-022,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-023,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-024,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-025,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-027,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-028,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-030,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-031,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-033,NA,ug_per_l,NA,NA
NA,NA,7,NA,NA,DEN-034,NA,ug_per_l,NA,NA
NA,NA,7,NA,NA,DEN-035,NA,ug_per_l,NA,NA
NA,NA,7,NA,NA,DEN-036,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-037,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-038,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-039,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-040,NA,ug_per_l,NA,NA
NA,NA,7,NA,NA,DEN-041,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-042,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-043,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-044,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-045,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-046,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-047,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-048,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-049,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-050,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-051,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-052,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-053,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-054,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,DEN-055,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-057,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-060,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-061,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-062,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-063,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-064,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-065,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-066,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-067,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-068,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-069,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-070,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-071,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-073,NA,ug_per_l,NA,NA
NA,NA,7,NA,NA,DEN-074,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-075,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-076,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-077,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,DEN-078,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-079,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-080,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-082,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-083,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-084,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-085,NA,ug_per_l,NA,NA
NA,NA,3.6,NA,NA,DEN-086,NA,ug_per_l,NA,NA
NA,NA,6,NA,NA,DEN-087,NA,ug_per_l,NA,NA
NA,NA,9,NA,NA,DEN-088,NA,ug_per_l,NA,NA
NA,NA,6,NA,NA,DEN-089,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-091,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-092,NA,ug_per_l,NA,NA
NA,NA,1.7,NA,NA,DEN-093,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-095,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-096,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-097,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-098,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-099,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-100,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,DEN-101,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-102,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-103,NA,ug_per_l,NA,NA
NA,NA,1.5,NA,NA,DEN-104,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-105,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-106,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,DEN-107,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,DEN-108,NA,ug_per_l,NA,NA
NA,NA,3.7,NA,NA,EST-001,NA,ug_per_l,NA,NA
NA,NA,3.7,NA,NA,EST-002,NA,ug_per_l,NA,NA
NA,NA,2.7,NA,NA,EST-003,NA,ug_per_l,NA,NA
NA,NA,2.7,NA,NA,EST-004,NA,ug_per_l,NA,NA
NA,NA,2.7,NA,NA,EST-005,NA,ug_per_l,NA,NA
NA,NA,2.7,NA,NA,EST-006,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,EST-007,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,EST-008,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,EST-009,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,EST-010,NA,ug_per_l,NA,NA
NA,NA,1.6,NA,NA,EST-011,NA,ug_per_l,NA,NA
NA,NA,3,NA,NA,EST-012,NA,ug_per_l,NA,NA
NA,NA,4.5,NA,NA,EST-013,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,EST-014,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,EST-015,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,EST-016,NA,ug_per_l,NA,NA
NA,NA,3,NA,NA,FIN-001,NA,ug_per_l,NA,NA
NA,NA,2.3,NA,NA,FIN-002,NA,ug_per_l,NA,NA
NA,NA,3.5,NA,NA,FIN-003,NA,ug_per_l,NA,NA
NA,NA,2.5,NA,NA,FIN-004,NA,ug_per_l,NA,NA
NA,NA,2.5,NA,NA,FIN-005,NA,ug_per_l,NA,NA
NA,NA,3.3,NA,NA,FIN-006,NA,ug_per_l,NA,NA
NA,NA,2.2,NA,NA,FIN-007,NA,ug_per_l,NA,NA
NA,NA,2.7,NA,NA,FIN-008,NA,ug_per_l,NA,NA
NA,NA,2.1,NA,NA,FIN-009,NA,ug_per_l,NA,NA
NA,NA,3.3,NA,NA,FIN-010,NA,ug_per_l,NA,NA
NA,NA,2.2,NA,NA,FIN-011,NA,ug_per_l,NA,NA
NA,NA,3,NA,NA,FIN-012,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,FIN-013,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-001,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-002,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-003,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-004,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-005,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-006,NA,ug_per_l,NA,NA
NA,NA,12.7,NA,NA,GER-007,NA,ug_per_l,NA,NA
NA,NA,12.7,NA,NA,GER-008,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-009,NA,ug_per_l,NA,NA
NA,NA,2.3,NA,NA,GER-010,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-011,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-012,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-013,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-014,NA,ug_per_l,NA,NA
NA,NA,2.3,NA,NA,GER-015,NA,ug_per_l,NA,NA
NA,NA,12.7,NA,NA,GER-016,NA,ug_per_l,NA,NA
NA,NA,12.7,NA,NA,GER-017,NA,ug_per_l,NA,NA
NA,NA,2.3,NA,NA,GER-018,NA,ug_per_l,NA,NA
NA,NA,2.3,NA,NA,GER-019,NA,ug_per_l,NA,NA
NA,NA,12.7,NA,NA,GER-020,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-021,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-022,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-023,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-024,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-025,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-026,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-027,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-028,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-029,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-030,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-031,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-032,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-033,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-034,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-035,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-036,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-037,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-038,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-039,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-040,NA,ug_per_l,NA,NA
NA,NA,1.9,NA,NA,GER-041,NA,ug_per_l,NA,NA
NA,NA,1.95,NA,NA,GER-042,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-043,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-044,NA,ug_per_l,NA,NA
NA,NA,2.4,NA,NA,GER-111,NA,ug_per_l,NA,NA
8,0.6,1.8,NA,NA,LAT-001,NA,ug_per_l,umol_per_l,umol_per_l
8,0.6,1.8,NA,NA,LAT-002,NA,ug_per_l,umol_per_l,umol_per_l
11,0.75,2.7,NA,NA,LAT-003,NA,ug_per_l,umol_per_l,umol_per_l
11,0.75,2.7,NA,NA,LAT-004,NA,ug_per_l,umol_per_l,umol_per_l
14,0.9,3,NA,NA,LAT-005,NA,ug_per_l,umol_per_l,umol_per_l
NA,NA,0.55,NA,NA,LIT-001,NA,ug_per_l,NA,NA
NA,NA,0.61,NA,NA,LIT-002,NA,ug_per_l,NA,NA
NA,NA,0.61,NA,NA,LIT-003,NA,ug_per_l,NA,NA
NA,NA,0.68,NA,NA,LIT-004,NA,ug_per_l,NA,NA
NA,NA,0.57,NA,NA,LIT-005,NA,ug_per_l,NA,NA
NA,NA,0.42,NA,NA,LIT-006,NA,ug_per_l,NA,NA
1.05,0.05,20,NA,NA,POL-001,NA,ug_per_l,mg_per_l,mg_per_l
1.05,0.05,20,NA,NA,POL-002,NA,ug_per_l,mg_per_l,mg_per_l
0.38,0.05,23.2,NA,NA,POL-003,NA,ug_per_l,mg_per_l,mg_per_l
0.03,0.09,2,NA,NA,POL-004,NA,ug_per_l,mg_per_l,mg_per_l
0.15,0.02,3.76,NA,NA,POL-005,NA,ug_per_l,mg_per_l,mg_per_l
0.15,0.02,3.76,NA,NA,POL-006,NA,ug_per_l,mg_per_l,mg_per_l
0.18,0.04,3.8,NA,NA,POL-007,NA,ug_per_l,mg_per_l,mg_per_l
0.23,0.04,5.5,NA,NA,POL-008,NA,ug_per_l,mg_per_l,mg_per_l
0.32,0.04,7.5,NA,NA,POL-009,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-010,NA,ug_per_l,mg_per_l,mg_per_l
0.15,0.02,3.15,NA,NA,POL-011,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-012,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-013,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-014,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-015,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-016,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-017,NA,ug_per_l,mg_per_l,mg_per_l
0.23,0.02,3.15,NA,NA,POL-018,NA,ug_per_l,mg_per_l,mg_per_l
0.1,0.02,1.9,NA,NA,POL-019,NA,ug_per_l,mg_per_l,mg_per_l
0.67,0.68,0.57,NA,NA,SWE-001,NA,ug_per_l,EQR,EQR
0.67,0.68,0.67,NA,NA,SWE-003,NA,ug_per_l,EQR,EQR
0.67,0.67,0.67,NA,NA,SWE-004,NA,ug_per_l,EQR,EQR
0.67,0.67,0.59,NA,NA,SWE-005,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-006,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-007,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-008,NA,ug_per_l,EQR,EQR
0.66,0.66,0.67,NA,NA,SWE-009,NA,ug_per_l,EQR,EQR
0.66,0.66,0.67,NA,NA,SWE-010,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-011,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-012,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-013,NA,ug_per_l,EQR,EQR
0.67,0.66,0.67,NA,NA,SWE-014,NA,ug_per_l,EQR,EQR
NA,NA,0.67,NA,NA,SWE-015,NA,ug_per_l,NA,NA
0.67,0.65,0.61,NA,NA,SWE-016,NA,ug_per_l,EQR,EQR
0.67,0.65,0.6,NA,NA,SWE-017,NA,ug_per_l,EQR,EQR
0.66,0.67,0.61,NA,NA,SWE-018,NA,ug_per_l,EQR,EQR
0.66,0.67,0.6,NA,NA,SWE-019,NA,ug_per_l,EQR,EQR
0.67,0.68,0.57,NA,NA,SWE-020,NA,ug_per_l,EQR,EQR
0.67,0.68,0.55,NA,NA,SWE-021,NA,ug_per_l,EQR,EQR
0.67,0.67,0.52,NA,NA,SWE-022,NA,ug_per_l,EQR,EQR
0.67,0.67,0.55,NA,NA,SWE-023,NA,ug_per_l,EQR,EQR
NA,NA,0.67,NA,NA,SWE-024,NA,ug_per_l,NA,NA
0.67,0.68,0.67,NA,NA,SWE-025,NA,ug_per_l,EQR,EQR
