rgn_id,score,dimension,year
1,0,trend,2019
2,NA,trend,2019
3,NA,trend,2019
4,NA,trend,2019
5,0,trend,2019
6,NA,trend,2019
7,NA,trend,2019
8,0,trend,2019
9,NA,trend,2019
10,NA,trend,2019
11,0,trend,2019
12,NA,trend,2019
13,NA,trend,2019
14,0,trend,2019
15,NA,trend,2019
16,NA,trend,2019
20,NA,trend,2019
26,0,trend,2019
29,0,trend,2019
32,0,trend,2019
35,0,trend,2019
36,0,trend,2019
37,0,trend,2019
38,0,trend,2019
39,0,trend,2019
40,0,trend,2019
41,0,trend,2019
42,0,trend,2019